epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr
1,0.3797616157706823,0.6694219480108032,0.6502531249064363,0.1297019920492357,0.7227265010427246,0.7124105220597382,0.0002981532510892
2,0.1436541301497245,0.7262756000112304,0.7212900120539976,0.0599835078961165,0.7445288072179564,0.7399656309844956,0.0002926584774442
3,0.10172239327716,0.7351051936696776,0.7324384709522298,0.096356746126977,0.7285404573034058,0.7150376829980524,0.0002836509786282
4,0.0840734034925907,0.7414581547330629,0.7393450340040868,0.1038662434317344,0.7314474354337465,0.7245373091719288,0.0002713525491562
5,0.0577425041909981,0.7472188840459596,0.7457295612693482,0.0350073444866394,0.7513117561887512,0.7499749215502726,0.0002560660171779
6,0.0522402936385715,0.7486186991285096,0.7475086992572878,0.038794870870982,0.7508272896360169,0.7508258889521544,0.0002381677878438
7,0.0400658446686813,0.751956678445221,0.7523179684343518,0.0251815229538799,0.7556722531865844,0.7518864407616552,0.0002180985749609
8,0.0416876524293204,0.7521720300267944,0.7509166105977364,0.0341900494671607,0.7503427634786376,0.7505741834023024,0.0001963525491562
9,0.0351805029951595,0.7535180221151124,0.752032724676952,0.0598084566782611,0.7421063552449952,0.730037460300105,0.000173465169756
10,0.0206009977384919,0.7564791212629088,0.756348605540663,0.0124599234193794,0.7576102386068116,0.7571625730821236,0.00015
11,0.0132380323533208,0.7585788140844116,0.7583975860663024,0.0254318774786106,0.7532497416089784,0.75295570626638,0.0001265348302439
12,0.0145897027999235,0.7584173451017152,0.7573581259951622,0.0116465997326281,0.7576102386068116,0.7578478257294821,0.0001036474508437
13,0.0073528261668594,0.7603555093358764,0.759996317800705,0.0177255006608112,0.7576102386068116,0.7575948514471392,8.190142503906799e-05
14,0.0082951868567955,0.7599248061727296,0.7594452822431448,0.0073549218995626,0.7595482240270386,0.7599020148028792,6.183221215612905e-05
15,0.0045941720387954,0.7608400354932556,0.7607201257695688,0.0058604337332784,0.760032690579773,0.7599687518740988,4.393398282201788e-05
16,0.0039307657330366,0.7611630926679382,0.7612858819044827,0.0097934265815934,0.7590636978696594,0.7592245400727774,2.86474508437579e-05
17,0.0019005508275859,0.761539972836853,0.761599045744882,0.0051291512195454,0.760517216737152,0.7605613722389104,1.6349021371744834e-05
18,0.0020140476234549,0.761539972836853,0.7615601983336572,0.0036594132466833,0.7610016832898864,0.7612034795050711,7.341522555726972e-06
19,0.0013224002785869,0.7617015014241945,0.7614460533486552,0.0036392866872077,0.7610016832898864,0.7610689462626996,1.846748910729352e-06
20,0.0010843611768173,0.7618091474126588,0.7617941243086208,0.0054012145991473,0.7610016832898864,0.7610689462626996,0.0
