epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr
1,0.6022062291235805,0.7838708162307739,0.6272636102847086,0.5458555779724478,0.8060747385025024,0.6735119224865491,0.00029815325108927063
2,0.4856153081410175,0.8274393677711487,0.693605048667986,0.4912643548484161,0.8242990374565125,0.6935519406240329,0.00029265847744427303
3,0.43866064564959,0.8462377190589905,0.7292889970406744,0.48941101331577125,0.8303738236427307,0.7112129378254578,0.0002836509786282552
4,0.40680964218899734,0.8553772568702698,0.7453769384139106,0.47820845263026585,0.8322429656982422,0.714613995071443,0.0002713525491562421
5,0.38323103642113304,0.8674248456954956,0.7666675281877774,0.47237339682668167,0.8341121673583984,0.7308311043526227,0.0002560660171779821
6,0.3420646673219006,0.8776029348373413,0.7844482395521999,0.4757388474785279,0.8429906368255615,0.734783343018407,0.000238167787843871
7,0.31328979781460536,0.8871579170227051,0.8015872844563416,0.48526976604327976,0.8378504514694214,0.7317597609168205,0.00021809857496093204
8,0.2724357123064055,0.9032040238380432,0.8279838949691729,0.4752334373019566,0.8420560956001282,0.724560538261224,0.00019635254915624216
9,0.24017304856733115,0.9135898351669312,0.8457258839277422,0.5000176853108629,0.8443925380706787,0.7206474143973234,0.00017346516975603468
10,0.2008518588554081,0.9280261993408203,0.8752143939747802,0.5639982576682189,0.8336448669433594,0.7275058760498031,0.00015000000000000001
11,0.15810503452720687,0.9435010552406311,0.9007222753947068,0.5707709047838906,0.8481308221817017,0.7311623631279625,0.0001265348302439654
12,0.11159482396496427,0.9606896042823792,0.9303522903756504,0.6554426910721253,0.8341121673583984,0.7138817240909335,0.0001036474508437579
13,0.08754802379905544,0.9695175886154175,0.948235145470451,0.6794072159539873,0.8401868939399719,0.7312680707160986,8.190142503906799e-05
14,0.0654976049267229,0.9775146842002869,0.9606654884502221,0.6779736995697021,0.8457943797111511,0.7356472865547502,6.183221215612905e-05
15,0.044768155425881376,0.9845250844955444,0.9735941510316003,0.7119266081636197,0.8537383079528809,0.7413580712748169,4.393398282201788e-05
16,0.03120013390105132,0.9901334643363953,0.9833201899370451,0.7563011694734342,0.8485981225967407,0.7387939238081652,2.86474508437579e-05
17,0.02250551462462478,0.992729902267456,0.9872766598990452,0.766437815617178,0.8471962809562683,0.7385517108113955,1.6349021371744834e-05
18,0.019827387094522444,0.9936127066612244,0.9892622905685974,0.7636929118744681,0.8542056083679199,0.746353187918262,7.341522555726972e-06
19,0.014941104223201397,0.9961053133010864,0.9937234318235875,0.7672577718708002,0.8514018654823303,0.739392499249449,1.8467489107293517e-06
20,0.015363122608510513,0.9954302310943604,0.992954710115835,0.7681775351551091,0.8537383079528809,0.7462247669813641,0.0
