epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr
1,0.4971250907955301,0.7680101811273499,0.7463011083150253,0.2333840602474619,0.8560445129259032,0.7885705077169851,0.0002981532510892
2,0.1874001508375486,0.8676656305177612,0.8557043225337481,0.1611517199943232,0.8739708482606812,0.8630170726037464,0.0002926584774442
3,0.1467095701062244,0.881071430383484,0.8773425552749692,0.1069839411927748,0.8952886878831788,0.8850811030252557,0.0002836509786282
4,0.1187282487460437,0.8923775970323486,0.8861324515338372,0.1080457913552143,0.8981956660135192,0.8868662088666792,0.0002713525491562
5,0.0930002602837122,0.8997534930093688,0.8972736498923758,0.0859520536407019,0.9006181179864808,0.8956167797651068,0.0002560660171779
6,0.0885070336446498,0.9003457247598572,0.8959999108530872,0.1081587424458459,0.886567753492157,0.8828447016015825,0.0002381677878438
7,0.0708539215265209,0.9063756286485596,0.9019707609936582,0.1654715467562047,0.8817227899415894,0.8464978362222492,0.0002180985749609
8,0.0535390756738884,0.9125670611246032,0.910788875500529,0.0610103880943254,0.9093390523775025,0.9064190075708496,0.0001963525491562
9,0.0483079392776752,0.9141822277887268,0.9133634037681007,0.0415931319197018,0.9161220013482972,0.9160034358655776,0.000173465169756
10,0.0350223976007075,0.91935078495578,0.9191983062807206,0.0341254335272219,0.9190289794786376,0.9131862896296016,0.00015
11,0.02805788184286,0.9213427721841736,0.9184865157427524,0.0289999630677607,0.9209669648988648,0.9210946182704328,0.0001265348302439
12,0.0232224223802943,0.92252723568515,0.9215564326800842,0.0240895362902981,0.9219359576089784,0.9217302887034214,0.0001036474508437
13,0.0120859430502794,0.926565152345459,0.926500318117548,0.0221717201693113,0.9243584691865844,0.9246118007934336,8.190142503906799e-05
14,0.0115383760928401,0.9262959777696532,0.9263233133244908,0.0457640330689822,0.9175755202157898,0.9170989924155328,6.183221215612905e-05
15,0.0055928346902032,0.9289879023416444,0.9291174259478588,0.0102145811037499,0.926780921159546,0.9268703571730428,4.393398282201788e-05
16,0.0037593904578208,0.9294724284990235,0.9296843980590276,0.006164052516453,0.928718906579773,0.9289128623288458,2.86474508437579e-05
17,0.0026820953187282,0.9298493086679382,0.9299299037173584,0.0067326284425203,0.9282344400270386,0.9282687886428006,1.6349021371744834e-05
18,0.001880063080772,0.9301723658426209,0.9302607607329985,0.0042793083098507,0.929203432737152,0.9292772230407096,7.341522555726972e-06
19,0.0012071702328091,0.9304415404184264,0.9304676076021786,0.0035006703101387,0.928718906579773,0.9288804396137832,1.846748910729352e-06
20,0.0009580411155731,0.9304415404184264,0.9304745908598342,0.0032554213390793,0.929203432737152,0.929316670645094,0.0
