Model Name,Dataset Name,Accuracy,F1 Score,Precision,Macro Avg,Weighted Avg,Recall
DenseNet121,PlantVillage,0.998546511627907,0.998545487419611,0.9985540677298412,0.998843013202221,0.998545487419611,0.998546511627907
DenseNet169,PlantVillage,0.999031007751938,0.9990308988776276,0.9990340358527132,0.9992390759126882,0.9990308988776276,0.999031007751938
GoogLeNet,PlantVillage,0.998062015503876,0.9980613655026032,0.9980642795044556,0.9981596572506036,0.9980613655026032,0.998062015503876
InceptionV3,PlantVillage,0.999031007751938,0.9990312761975402,0.9990380687438446,0.9990982702626996,0.9990312761975402,0.999031007751938
ResNet50,PlantVillage,0.1782945736434108,0.085383000072811,0.1514605740463129,0.0486143189218774,0.085383000072811,0.1782945736434108
VGG16,PlantVillage,0.9893410852713178,0.989359368461368,0.9894560182844822,0.986611531584384,0.989359368461368,0.9893410852713178
ViT-B16,PlantVillage,0.998546511627907,0.9985448815994862,0.998556439460784,0.998659778645094,0.9985448815994862,0.998546511627907
