epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr
1,0.6102508198230403,0.8389695703370972,0.8199907225985622,0.0786250699744668,0.9059476076944276,0.9005987868081922,0.0002981532510892
2,0.1835742055715138,0.8999150215967102,0.8977341414943708,0.082272377067296,0.9020716368539734,0.9053978912323676,0.0002926584774442
3,0.12117418586643,0.9101443707330629,0.9080100843288152,0.0565705197726109,0.908854585824768,0.9033187147055842,0.0002836509786282
4,0.1066029215877557,0.9119210063798828,0.9098632138778148,0.0463912857248801,0.9151530086381836,0.9113075545119216,0.0002713525491562
5,0.0679939640015026,0.9199968397005004,0.9189615170617564,0.0331988192574922,0.9204824983461304,0.920534749816892,0.0002560660171779
6,0.0666312218513458,0.9209659516199036,0.9200890982403784,0.0150527116055636,0.9262964546068116,0.9255067825740844,0.0002381677878438
7,0.0595021499995765,0.9213427721841736,0.9197390337766952,0.0369508712906246,0.9190289794786376,0.9133730967867304,0.0002180985749609
8,0.0576416425936624,0.9210197746141356,0.9209231106272721,0.0315868222667265,0.9190289794786376,0.9183742483584,0.0001963525491562
9,0.0303692907025058,0.926565152345459,0.926652955107345,0.0127728618970213,0.926780921159546,0.9268976895838968,0.000173465169756
10,0.0218446781875523,0.9282341420038148,0.9282929411089936,0.0173610983084338,0.9248429357393189,0.9237882084721544,0.00015
11,0.0253906597277923,0.9268343269212647,0.9267208871673248,0.0252567093617232,0.9238739430292052,0.9240009506282179,0.0001265348302439
12,0.0168471375664412,0.9281264960153505,0.9280698653514008,0.0126113173111464,0.925327461896698,0.9246865273377528,0.0001036474508437
13,0.0162663797349924,0.928395670591156,0.9285047138574066,0.0063664203350858,0.929203432737152,0.9294529229423294,8.190142503906799e-05
14,0.0088628468395365,0.9295262514932556,0.929596475267317,0.0087799302829328,0.9272654473169251,0.9281694293433468,6.183221215612905e-05
15,0.0084534058470453,0.929741662679474,0.9297372818770696,0.005991424643254,0.928718906579773,0.928738629082957,4.393398282201788e-05
16,0.0075121117516584,0.9295801340921326,0.9290867743720508,0.0047612466899923,0.928718906579773,0.9288209056219748,2.86474508437579e-05
17,0.0044049217108354,0.9303338348253174,0.9303189971286853,0.0029022907332856,0.9296878992898864,0.929647869211904,1.6349021371744834e-05
18,0.0045178711816256,0.9301723658426209,0.9302089400177836,0.0039593247018119,0.9296878992898864,0.929647869211904,7.341522555726972e-06
19,0.0032291726310608,0.9304953634126588,0.9304986321075857,0.0040445030313129,0.929203432737152,0.9292510857849776,1.846748910729352e-06
20,0.0027302079677728,0.9304953634126588,0.93029005365732,0.0041961494919865,0.928718906579773,0.9288165492506036,0.0
