epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr
1,0.2314725435979017,0.8531431877000732,0.8411518479881808,0.0474513185232184,0.9075755202157898,0.9076959833115592,0.0002981532510892
2,0.079538754716915,0.8959987484796448,0.8945507239436632,0.0709346491237019,0.8974010669572754,0.8956711926018645,0.0002926584774442
3,0.0538773005197485,0.904289933381836,0.90130955121176,0.0581918437929116,0.9027305566652222,0.887607076095893,0.0002836509786282
4,0.0456532551255668,0.9063896262033386,0.906256511183639,0.0489730203683062,0.900308045087616,0.9000256441453324,0.0002713525491562
5,0.0343799355072908,0.9095661365373536,0.9083799763489632,0.076846048871214,0.8925561034067078,0.8921567078796072,0.0002560660171779
6,0.0303412181248741,0.911181303201477,0.9108076628175727,0.0188544251082479,0.913389476476471,0.9143122688294816,0.0002381677878438
7,0.0235748579507884,0.913334819017212,0.9124315612230695,0.0198934152144794,0.9148429357393189,0.9149348280133844,0.0002180985749609
8,0.0181279818274588,0.9154883944375916,0.9157308036556312,0.0226088479854339,0.9124204837663574,0.9117743289746468,0.0001963525491562
9,0.019538256642381,0.9151115142686768,0.9141693457755544,0.0123061119008433,0.916780921159546,0.916902580066826,0.000173465169756
10,0.009745992627872,0.9174803816659852,0.9173708620179188,0.0159706989693087,0.9143584691865844,0.9143904186762332,0.00015
11,0.0089167663467477,0.9180187904222412,0.9181746682866236,0.0225538026339323,0.9119359576089784,0.9107854575168036,0.0001265348302439
12,0.0059942467818537,0.9189879023416444,0.9187446267929842,0.0104902796158494,0.9177499138696594,0.9176812992552764,0.0001036474508437
13,0.0047734651252361,0.919310899911682,0.9189242213940192,0.0056164524582929,0.9177499138696594,0.9183775744754128,8.190142503906799e-05
14,0.0046648430954957,0.9192032539232178,0.9191314202237706,0.0081728565138439,0.9177499138696594,0.9181237913057688,6.183221215612905e-05
15,0.0026112669956328,0.920118483243744,0.9201712625371788,0.0066394140554028,0.917265447316925,0.9178446991078032,4.393398282201788e-05
16,0.0020509742491571,0.920118483243744,0.9199754343368636,0.0046351971898892,0.918718906579773,0.9190701851465748,2.86474508437579e-05
17,0.001239511127734,0.9203877174241945,0.9204015062779284,0.0035704737601354,0.919203432737152,0.91944927945577,1.6349021371744834e-05
18,0.0010721490510614,0.9203877174241945,0.9201907178795686,0.002766532780126,0.919203432737152,0.919499905202221,7.341522555726972e-06
19,0.0007957951352574,0.9205491864068908,0.9205551482146408,0.0032601527465406,0.919203432737152,0.91944927945577,1.846748910729352e-06
20,0.0006335949455239,0.9206030690057678,0.920608419455644,0.0033758312117221,0.919203432737152,0.919499905202221,0.0
