epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,epoch_time_sec,lr
1,1.1810079151280457,0.47636481802426345,0.47659776384616137,0.7924555758945644,0.5065684468999386,0.39470759454572,368.3520739078522,0.00029815325108927063
2,0.7217933542597897,0.5814124783362218,0.5797066380851097,0.8068934511393309,0.45119705340699817,0.38500490950757793,306.8110086917877,0.00029265847744427303
3,0.6274883542842362,0.647053726169844,0.6470019918119732,0.7875663614831865,0.5515039901780233,0.4184742267627982,293.61680245399475,0.0002836509786282552
4,0.5559245073084854,0.697292027729636,0.695360737444621,0.8019199389964342,0.5305095150399017,0.4249078592686339,288.87027049064636,0.0002713525491562421
5,0.48804441064451604,0.7401213171577123,0.738996557665024,0.8096907176077366,0.5409453652547576,0.43917986819592586,284.08916997909546,0.0002560660171779821
6,0.4267275314610284,0.7845753899480069,0.7834993703006119,0.850409337785095,0.5279312461632903,0.4557156508883219,278.6656713485718,0.000238167787843871
7,0.37315017658228355,0.8146013864818025,0.8135816682764235,0.8725723796524107,0.5517495395948434,0.45529155278553146,279.56086921691895,0.00021809857496093204
8,0.3237109662486048,0.8434792027729636,0.8436454330657395,0.8777162698097527,0.6250460405156538,0.4682350597937252,269.4076578617096,0.00019635254915624216
9,0.2758762573285063,0.8696707105719237,0.8679663764620896,0.9485737886279821,0.6084714548802946,0.4642899814420392,279.86237478256226,0.00017346516975603468
10,0.23737908534999944,0.8895580589254766,0.8896149524279162,0.9812975777313113,0.6013505217925107,0.47195178827588896,274.824090719223,0.00015000000000000001
11,0.20702371671434416,0.9045710571923743,0.9043226418785361,1.009657436516136,0.6620012277470841,0.47141106011229117,271.85876059532166,0.0001265348302439654
12,0.1757268632245163,0.9204506065857886,0.9204311816179221,1.0808303384110332,0.6006138735420503,0.47714404509132957,268.47398138046265,0.0001036474508437579
13,0.1507576237989645,0.9306975736568458,0.9295613950441701,1.0997958956286311,0.623572744014733,0.480087650058088,275.92369174957275,8.190142503906799e-05
14,0.13127772283642886,0.9402946273830156,0.9397470147126998,1.1584961847402155,0.611049723756906,0.47718820220805086,267.8452339172363,6.183221215612905e-05
15,0.1194139945005181,0.9463821490467937,0.945804776646671,1.1523577240295708,0.6606507059545733,0.4786419380705733,266.28624653816223,4.393398282201788e-05
16,0.10555296647862601,0.9526429809358752,0.9525677308904859,1.1772655420936644,0.6552486187845303,0.49098297922414713,276.4978361129761,2.86474508437579e-05
17,0.0972305946103707,0.9561741767764298,0.9564164026010917,1.2239735224284232,0.6380601596071209,0.48060582418198783,273.2478713989258,1.6349021371744834e-05
18,0.0898444653357678,0.9593370883882149,0.9584296290731233,1.2284990027546883,0.6412523020257827,0.4813783798710578,267.6356222629547,7.341522555726972e-06
19,0.0857614414793538,0.9621750433275563,0.9614874924378372,1.2402441324666142,0.6389195825659914,0.4772862023883649,267.2503836154938,1.8467489107293517e-06
20,0.0854489846040165,0.9621533795493934,0.961580810537426,1.2255697972141206,0.6461632903621853,0.47875951507940656,266.5849380493164,0.0
