epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr
1,1.7885982218935843,0.3428671791056824,0.23456032680808758,1.1205935810887535,0.5430620147685241,0.4346855241983089,0.0002981532510892
2,0.7081044037851439,0.6948420240382385,0.6299384196944386,0.3722202159868654,0.8017829491595458,0.7608051434619432,0.0002926584774442
3,0.4221166376044549,0.7917899920443725,0.7610018530719607,0.322473915856938,0.8168023063639831,0.7696094213785356,0.0002836509786282
4,0.318642054650685,0.8256320192317199,0.7962678291664789,0.2582832311474999,0.8478100730876159,0.8241456056509384,0.0002713525491562
5,0.2388295323780238,0.851664288232727,0.8304403783633267,0.256545276662638,0.849748058507843,0.8197544893300062,0.0002560660171779
6,0.2292163391729659,0.8568707539538574,0.8362403690965148,0.1891632627031599,0.8657364680270385,0.8491105856254308,0.0002381677878438
7,0.167775035760561,0.8771580292681884,0.8699209134014874,0.1285636947136516,0.8899612261752321,0.8797403225481211,0.0002180985749609
8,0.1468994904463338,0.8855063154200744,0.8750827254005649,0.1610226027032201,0.8788178398112487,0.8595465633021233,0.0001963525491562
9,0.1149785189269047,0.8932262494067384,0.8857922948116987,0.128991979383683,0.8894767596224975,0.8841643085018025,0.000173465169756
10,0.0994744046372185,0.8971759511927797,0.8887043307832969,0.1009308073756306,0.8967441751460266,0.8925679957662755,0.00015
11,0.0780892551373322,0.9059731199244689,0.9028118129826641,0.1088218628320583,0.8962597085932922,0.8834808836505503,0.0001265348302439
12,0.0624419880084546,0.9110000564555361,0.9095965497199987,0.1627458833562311,0.8797868325213625,0.879476758484858,0.0001036474508437
13,0.0459729332470166,0.9150395228366088,0.9098773093125572,0.0605038083338922,0.9098256065348815,0.9044099637783585,8.190142503906799e-05
14,0.0310182886234947,0.9195278717974853,0.9180230971390833,0.0524574733057687,0.9156395627955629,0.9134753060875107,6.183221215612905e-05
15,0.024773800105552,0.9224003984431457,0.9206515704746925,0.0584269930687985,0.9146705700854492,0.9104480607850596,4.393398282201788e-05
16,0.0127612550018933,0.9265296294192504,0.9246981098861948,0.0503907149383264,0.9137015773753356,0.9099855835867212,2.86474508437579e-05
17,0.0114310409158093,0.9270682765940856,0.9270245081277544,0.042451102661994,0.9175775482157897,0.9150629389330978,1.6349021371744834e-05
18,0.0081069955491934,0.9277863933543395,0.9272315389176209,0.0351786968666453,0.9190310074786376,0.9171947149647379,7.341522555726972e-06
19,0.0071023441195701,0.92832498092453,0.9284407607307961,0.0354345215614451,0.9195155336360168,0.9170087503281501,1.846748910729352e-06
20,0.0062766072352013,0.9285942747096252,0.928185436865498,0.0337935501290846,0.9200000001887512,0.9172704515843839,0.0
