class,precision,recall,f1-score,support
Cassava Bacterial Blight (CBB),0.5985401459854015,0.5578231292517006,0.5774647887323943,147.0
Cassava Brown Streak Disease (CBSD),0.7619047619047619,0.7757575757575758,0.7687687687687688,330.0
Cassava Green Mottle (CGM),0.6707317073170732,0.7746478873239436,0.7189542483660131,355.0
Cassava Mosaic Disease (CMD),0.9528497409326425,0.9213426853707415,0.9368313805399898,1996.0
Healthy,0.648989898989899,0.6745406824146981,0.6615186615186615,381.0
accuracy,0.8441882206294796,0.8441882206294796,0.8441882206294796,0.8441882206294796
macro avg,0.7266032510259557,0.7408223920237319,0.7327075695851655,3209.0
weighted avg,0.8496967788727617,0.8441882206294796,0.8462959867259956,3209.0
