epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr
1,0.665705206769398,0.7679285407066345,0.5862165474469748,0.6651722677400179,0.7598130702972412,0.631578029812851,0.00029815325108927063
2,0.5019687591092067,0.8305551409721375,0.696355872622392,0.6740418068716459,0.767756998538971,0.6204906735419862,0.00029265847744427303
3,0.46310950533935274,0.8438490033149719,0.7210116264373438,0.5680876755268774,0.8285046815872192,0.6944014134200998,0.0002836509786282552
4,0.4262012424465032,0.8547540903091431,0.7377248839554336,0.44056097408321415,0.8415887951850891,0.7237588539997475,0.0002713525491562421
5,0.39999329440534415,0.8616607189178467,0.748588643670755,0.4698061526935791,0.8425233364105225,0.7216216204881251,0.0002560660171779821
6,0.37295894950865066,0.8726696968078613,0.7686169590103583,0.496967223035955,0.8299065232276917,0.7140036213902741,0.000238167787843871
7,0.3505552111307384,0.8810821771621704,0.7852865347988108,0.4557379465793895,0.8523364663124084,0.7257860754473888,0.00021809857496093204
8,0.31450982655856496,0.8946357369422913,0.808219702639484,0.5067234970141794,0.8471962809562683,0.7327793389790502,0.00019635254915624216
9,0.28947773829126505,0.90268474817276,0.8226409779447316,0.4602635696669605,0.855140209197998,0.7442106648607318,0.00017346516975603468
10,0.254445720887069,0.9126031994819641,0.8426779033029985,0.5186612743083562,0.8392523527145386,0.7234983203344701,0.00015000000000000001
11,0.23094146078083072,0.9223659038543701,0.8591987093222773,0.5128758316563669,0.8523364663124084,0.7378815222770307,0.0001265348302439654
12,0.1903118501959631,0.9351404905319214,0.8801033601979263,0.5365575531654269,0.8476635217666626,0.7322049618915245,0.0001036474508437579
13,0.15349008102787676,0.9479150176048279,0.9048862041934054,0.5846017699932383,0.8514018654823303,0.7383653751632756,8.190142503906799e-05
14,0.12774792122832834,0.9559121131896973,0.9199111486627725,0.6027824674254266,0.8528037667274475,0.7349228155457458,6.183221215612905e-05
15,0.10124926049835481,0.9649997353553772,0.9361386660357901,0.6299677480604047,0.8537383079528809,0.7422849352650006,4.393398282201788e-05
16,0.07928378265584166,0.9726852774620056,0.9493727748065137,0.6961400111144949,0.8495327234268188,0.7356105251781909,2.86474508437579e-05
17,0.06488142708326021,0.9801111221313477,0.9641236988645543,0.7075842047406135,0.8556074500083923,0.7399748484983364,1.6349021371744834e-05
18,0.052283027712604895,0.9820325374603271,0.9677361528917026,0.7369296773014782,0.8518691658973694,0.7388961365544814,7.341522555726972e-06
19,0.04253371430285956,0.9860829710960388,0.9740400653958368,0.7672811281458239,0.8528037667274475,0.7428925285305961,1.8467489107293517e-06
20,0.043426322758146715,0.9860829710960388,0.9746340454009509,0.7692762489073744,0.8542056083679199,0.7448457948550272,0.0
